phase theta,reflectance
163.49,3.59195e-05
171.156,0.000120929
175.537,0.000231488
163.629,3.49604e-05
171.321,0.000124219
175.631,0.000237573
163.79,3.50418e-05
171.489,0.000127339
175.728,0.000246967
163.967,3.52166e-05
171.662,0.000129304
175.824,0.00025762
164.162,3.39142e-05
171.854,0.000129908
175.921,0.000266083
164.363,3.57623e-05
172.043,0.000132801
176.024,0.000275443
164.573,3.86238e-05
172.222,0.000138399
176.122,0.000285731
164.776,3.93917e-05
172.418,0.000143984
176.221,0.000297044
164.991,4.08027e-05
172.623,0.000150679
176.324,0.000309514
165.202,4.28667e-05
172.809,0.000152224
176.429,0.000322866
165.414,4.41693e-05
173.002,0.000157268
176.534,0.000338047
165.588,4.42379e-05
173.194,0.000166854
176.64,0.000352926
165.753,4.35093e-05
173.388,0.000172869
176.745,0.000367819
165.958,4.43466e-05
173.585,0.00018054
176.852,0.000389268
166.183,4.28635e-05
173.781,0.000188794
176.963,0.000408859
166.415,4.81521e-05
173.983,0.000197444
177.069,0.000431772
166.644,5.07813e-05
174.182,0.000204948
177.177,0.000454918
166.872,5.30528e-05
174.389,0.000214084
177.289,0.000482562
167.102,5.4931e-05
174.622,0.000222374
177.4,0.000516039
167.321,5.80354e-05
174.829,0.000235566
177.511,0.00054802
167.482,5.70826e-05
175.051,0.000250528
177.623,0.0005873
167.644,5.75098e-05
175.275,0.000268361
177.746,0.000637688
167.863,5.84859e-05
175.479,0.000283252
177.865,0.000686667
168.083,6.12396e-05
175.677,0.000308079
177.973,0.000734266
168.3,6.71289e-05
175.875,0.000338394
178.079,0.000784494
168.51,7.05221e-05
176.068,0.000369036
178.194,0.000850806
168.72,7.50874e-05
176.26,0.000405309
178.311,0.000935254
168.917,7.91092e-05
176.443,0.000447779
178.415,0.00100581
169.042,7.89288e-05
176.623,0.000495071
178.52,0.0010905
169.164,8.03637e-05
176.83,0.000558909
178.615,0.00116427
169.347,8.26579e-05
177.025,0.000635301
178.708,0.00125282
169.517,9.00293e-05
177.176,0.000717159
178.797,0.00135024
169.68,9.66291e-05
177.372,0.000831038
178.877,0.00144737
169.838,0.000103767
177.507,0.00093685
178.946,0.00155211
169.979,0.000110158
177.61,0.00104437
179.003,0.00164582
170.1,0.000117928
177.694,0.00115441
179.047,0.00172958
170.144,0.000117602
177.751,0.00123737
179.079,0.00178223
170.216,0.000124184
177.78,0.00128106
179.095,0.00181301
170.314,0.000125097
177.784,0.00128083
179.089,0.00179367
170.389,0.000137415
177.757,0.00123274
179.068,0.0017476
170.459,0.00014475
177.714,0.0011576
179.033,0.00167599
170.516,0.000151851
177.669,0.0010555
178.984,0.00161032
170.554,0.00015886
177.566,0.000958055
178.923,0.00153174
170.549,0.000160322
177.46,0.000855169
178.853,0.00144101
170.516,0.000157649
177.323,0.000767326
178.777,0.00135166
170.512,0.000160883
177.169,0.000688317
178.693,0.00126039
170.498,0.000158828
177.001,0.000630167
178.606,0.00118849
170.475,0.000165001
176.827,0.000575026
178.519,0.00111619
170.435,0.000166101
176.643,0.00052657
178.426,0.00104911
170.383,0.000164598
176.456,0.000484307
178.339,0.000993356
170.317,0.000163872
176.263,0.00044944
178.243,0.000932526
170.233,0.000159394
176.068,0.0004169
178.142,0.000877141
170.134,0.000150888
175.863,0.000373281
178.04,0.000817863
170.041,0.000147581
175.658,0.000344741
177.938,0.000767146
169.941,0.0001417
175.453,0.000325297
177.835,0.000723424
169.833,0.000141778
175.24,0.000298695
177.73,0.000680202
169.716,0.000139813
175.034,0.000281066
177.626,0.000646976
169.592,0.000136979
174.829,0.000265128
177.523,0.000632364
169.464,0.000135341
174.628,0.000260549
177.416,0.000612616
169.328,0.000133375
174.427,0.000254926
177.316,0.000554532
169.197,0.000125446
174.228,0.000248621
177.211,0.000527339
169.066,0.000117939
174.031,0.000240181
177.108,0.000502407
168.92,0.000115225
173.832,0.000233971
177.008,0.000479571
168.778,0.000110475
173.642,0.00022753
176.907,0.000452786
168.627,0.000109581
173.449,0.000217233
176.809,0.000434164
168.481,0.000109616
