Optical constants of epsomite (Mg SO_4 . 7 H_2 O); T = 120 K; averaged. Ref: Dalton; J. B.; and K. M. Pitman (2012); Low temperature optical constants of some hydrated sulfates relevant to planetary surfaces; J. Geophys. Res.
Wavelength (microns), n(lambda), k(lambda), n upper, k upper, n lower, k lower bound 
6.510000E-01,1.449995E+00,2.276244E-07,1.449993E+00,3.413784E-07,1.449997E+00,1.707474E-07
6.540000E-01,1.449995E+00,2.296039E-07,1.449993E+00,3.444405E-07,1.449996E+00,1.721547E-07
6.570001E-01,1.449995E+00,2.317168E-07,1.449992E+00,3.475164E-07,1.449996E+00,1.738170E-07
6.600000E-01,1.449995E+00,2.337765E-07,1.449992E+00,3.507310E-07,1.449996E+00,1.753620E-07
6.630000E-01,1.449994E+00,2.359084E-07,1.449992E+00,3.538346E-07,1.449996E+00,1.769138E-07
6.660000E-01,1.449994E+00,2.381130E-07,1.449991E+00,3.572048E-07,1.449996E+00,1.785356E-07
6.690000E-01,1.449994E+00,2.404549E-07,1.449991E+00,3.605908E-07,1.449995E+00,1.803552E-07
6.720000E-01,1.449994E+00,2.423619E-07,1.449991E+00,3.636102E-07,1.449995E+00,1.817855E-07
6.750000E-01,1.449993E+00,2.426755E-07,1.449990E+00,3.640809E-07,1.449995E+00,1.820368E-07
6.780000E-01,1.449993E+00,2.452976E-07,1.449990E+00,3.680143E-07,1.449995E+00,1.840036E-07
6.810001E-01,1.449993E+00,2.489025E-07,1.449989E+00,3.734543E-07,1.449995E+00,1.866912E-07
6.840000E-01,1.449993E+00,2.508425E-07,1.449989E+00,3.763323E-07,1.449994E+00,1.881949E-07
6.870000E-01,1.449992E+00,2.529202E-07,1.449988E+00,3.794166E-07,1.449994E+00,1.897046E-07
6.900001E-01,1.449992E+00,2.549411E-07,1.449988E+00,3.823827E-07,1.449994E+00,1.912531E-07
6.930001E-01,1.449992E+00,2.568384E-07,1.449988E+00,3.853599E-07,1.449994E+00,1.926762E-07
6.960000E-01,1.449992E+00,2.588745E-07,1.449987E+00,3.883486E-07,1.449994E+00,1.941706E-07
6.990001E-01,1.449991E+00,2.627091E-07,1.449987E+00,3.941338E-07,1.449993E+00,1.970300E-07
7.020000E-01,1.449991E+00,2.657678E-07,1.449987E+00,3.986222E-07,1.449993E+00,1.993740E-07
7.050000E-01,1.449991E+00,2.691106E-07,1.449986E+00,4.035358E-07,1.449993E+00,2.018311E-07
7.080000E-01,1.449991E+00,2.729422E-07,1.449986E+00,4.094172E-07,1.449993E+00,2.046712E-07
7.110000E-01,1.449990E+00,2.769990E-07,1.449985E+00,4.154686E-07,1.449993E+00,2.077979E-07
7.140000E-01,1.449990E+00,2.810802E-07,1.449985E+00,4.215565E-07,1.449992E+00,2.108421E-07
7.170000E-01,1.449990E+00,2.863423E-07,1.449984E+00,4.294492E-07,1.449992E+00,2.147888E-07
7.200000E-01,1.449989E+00,2.915701E-07,1.449984E+00,4.372566E-07,1.449992E+00,2.186245E-07
7.230000E-01,1.449989E+00,2.969687E-07,1.449984E+00,4.453883E-07,1.449992E+00,2.226903E-07
7.260000E-01,1.449989E+00,3.023332E-07,1.449983E+00,4.534347E-07,1.449992E+00,2.267479E-07
7.290000E-01,1.449988E+00,3.078356E-07,1.449983E+00,4.619472E-07,1.449991E+00,2.309006E-07
7.319999E-01,1.449988E+00,3.139978E-07,1.449982E+00,4.710700E-07,1.449991E+00,2.354616E-07
7.350001E-01,1.449988E+00,3.204095E-07,1.449982E+00,4.806704E-07,1.449991E+00,2.403313E-07
