Optical constants of bloedite (Na_2 Mg(SO_4)_2 . 4 H_2 O); T = 120 K; averaged. Ref: Dalton; J. B.; and K. M. Pitman (2012); Low temperature optical constants of some hydrated sulfates relevant to planetary surfaces; J. Geophys. Res.
Wavelength (microns), n(lambda), k(lambda), n upper, k upper, n lower, k lower bound
4.660000E-01,1.485010E+00,2.868120E-06,1.485006E+00,1.586321E-06,1.485015E+00,3.964961E-06
4.670000E-01,1.485010E+00,2.868936E-06,1.485006E+00,1.586956E-06,1.485015E+00,3.966048E-06
4.680000E-01,1.485010E+00,2.876772E-06,1.485006E+00,1.591380E-06,1.485014E+00,3.976943E-06
4.690000E-01,1.485010E+00,2.875717E-06,1.485006E+00,1.591048E-06,1.485014E+00,3.975035E-06
4.700000E-01,1.485010E+00,2.873085E-06,1.485006E+00,1.589691E-06,1.485014E+00,3.971182E-06
4.710000E-01,1.485010E+00,2.875043E-06,1.485006E+00,1.591063E-06,1.485014E+00,3.973510E-06
4.720000E-01,1.485010E+00,2.877811E-06,1.485006E+00,1.592247E-06,1.485014E+00,3.976350E-06
4.730000E-01,1.485010E+00,2.874389E-06,1.485006E+00,1.590790E-06,1.485014E+00,3.971956E-06
4.740000E-01,1.485010E+00,2.872425E-06,1.485006E+00,1.589935E-06,1.485014E+00,3.969165E-06
4.750000E-01,1.485009E+00,2.878221E-06,1.485006E+00,1.593183E-06,1.485014E+00,3.976420E-06
4.760000E-01,1.485009E+00,2.873440E-06,1.485006E+00,1.590731E-06,1.485014E+00,3.969299E-06
4.770000E-01,1.485009E+00,2.873382E-06,1.485006E+00,1.590784E-06,1.485014E+00,3.968692E-06
4.780000E-01,1.485009E+00,2.879783E-06,1.485006E+00,1.594359E-06,1.485014E+00,3.977661E-06
4.790000E-01,1.485009E+00,2.881794E-06,1.485006E+00,1.595318E-06,1.485014E+00,3.979788E-06
4.800000E-01,1.485009E+00,2.878533E-06,1.485006E+00,1.593878E-06,1.485014E+00,3.975632E-06
4.810000E-01,1.485009E+00,2.879066E-06,1.485006E+00,1.594335E-06,1.485013E+00,3.976170E-06
4.820000E-01,1.485009E+00,2.885933E-06,1.485006E+00,1.598029E-06,1.485013E+00,3.985043E-06
4.830000E-01,1.485009E+00,2.887219E-06,1.485006E+00,1.598888E-06,1.485013E+00,3.986868E-06
4.840000E-01,1.485008E+00,2.887705E-06,1.485005E+00,1.599071E-06,1.485013E+00,3.987060E-06
4.850000E-01,1.485008E+00,2.889470E-06,1.485005E+00,1.599945E-06,1.485013E+00,3.989072E-06
4.860000E-01,1.485008E+00,2.892170E-06,1.485005E+00,1.601507E-06,1.485013E+00,3.992932E-06
4.870000E-01,1.485008E+00,2.891898E-06,1.485005E+00,1.601307E-06,1.485013E+00,3.991508E-06
4.880000E-01,1.485008E+00,2.890926E-06,1.485005E+00,1.600925E-06,1.485012E+00,3.989877E-06
4.890000E-01,1.485008E+00,2.891177E-06,1.485005E+00,1.601315E-06,1.485012E+00,3.990291E-06
4.900000E-01,1.485008E+00,2.892518E-06,1.485005E+00,1.602157E-06,1.485012E+00,3.991603E-06
4.910000E-01,1.485008E+00,2.892900E-06,1.485005E+00,1.602583E-06,1.485012E+00,3.991759E-06
4.920000E-01,1.485008E+00,2.893798E-06,1.485005E+00,1.603164E-06,1.485012E+00,3.992655E-06
4.930000E-01,1.485008E+00,2.894956E-06,1.485005E+00,1.603850E-06,1.485012E+00,3.994270E-06
4.940000E-01,1.485008E+00,2.893612E-06,1.485005E+00,1.603307E-06,1.485012E+00,3.991968E-06
4.950000E-01,1.485008E+00,2.894773E-06,1.485005E+00,1.604064E-06,1.485012E+00,3.992818E-06
4.960000E-01,1.485008E+00,2.897799E-06,1.485005E+00,1.605611E-06,1.485012E+00,3.997121E-06
4.970000E-01,1.485008E+00,2.899309E-06,1.485005E+00,1.606497E-06,1.485012E+00,3.998820E-06
4.980000E-01,1.485008E+00,2.898983E-06,1.485005E+00,1.606663E-06,1.485012E+00,3.998320E-06
4.990000E-01,1.485008E+00,2.899011E-06,1.485005E+00,1.606818E-06,1.485011E+00,3.998165E-06
5.000000E-01,1.485008E+00,2.899296E-06,1.485005E+00,1.606839E-06,1.485011E+00,3.998472E-06
5.010000E-01,1.485008E+00,2.895885E-06,1.485005E+00,1.605214E-06,1.485011E+00,3.993457E-06
5.020000E-01,1.485007E+00,2.898676E-06,1.485005E+00,1.606429E-06,1.485011E+00,3.997010E-06
5.030000E-01,1.485007E+00,2.901729E-06,1.485005E+00,1.608196E-06,1.485011E+00,4.001009E-06
5.040000E-01,1.485007E+00,2.900054E-06,1.485005E+00,1.607536E-06,1.485011E+00,3.998890E-06
5.050000E-01,1.485007E+00,2.900459E-06,1.485005E+00,1.607484E-06,1.485011E+00,3.998841E-06
5.060000E-01,1.485007E+00,2.901947E-06,1.485005E+00,1.608428E-06,1.485011E+00,4.000825E-06
5.070000E-01,1.485007E+00,2.902602E-06,1.485005E+00,1.608788E-06,1.485011E+00,4.001535E-06
5.080000E-01,1.485007E+00,2.899720E-06,1.485005E+00,1.607160E-06,1.485010E+00,3.997014E-06
5.090000E-01,1.485007E+00,2.900427E-06,1.485005E+00,1.607809E-06,1.485010E+00,3.998359E-06
5.100000E-01,1.485007E+00,2.906154E-06,1.485004E+00,1.610780E-06,1.485010E+00,4.006122E-06
5.110000E-01,1.485007E+00,2.911616E-06,1.485004E+00,1.613689E-06,1.485010E+00,4.013498E-06
5.120000E-01,1.485007E+00,2.904791E-06,1.485004E+00,1.610117E-06,1.485010E+00,4.003633E-06
5.130000E-01,1.485007E+00,2.905288E-06,1.485004E+00,1.610371E-06,1.485010E+00,4.003940E-06
5.140000E-01,1.485007E+00,2.908104E-06,1.485004E+00,1.612004E-06,1.485010E+00,4.008020E-06
5.150000E-01,1.485007E+00,2.905829E-06,1.485004E+00,1.610994E-06,1.485010E+00,4.004026E-06
5.160000E-01,1.485006E+00,2.906675E-06,1.485004E+00,1.611773E-06,1.485009E+00,4.005291E-06
5.170000E-01,1.485006E+00,2.909758E-06,1.485004E+00,1.613719E-06,1.485009E+00,4.009374E-06
5.180000E-01,1.485006E+00,2.913621E-06,1.485004E+00,1.615764E-06,1.485009E+00,4.014431E-06
5.190000E-01,1.485006E+00,2.915620E-06,1.485004E+00,1.617030E-06,1.485009E+00,4.016241E-06
5.200000E-01,1.485006E+00,2.916863E-06,1.485004E+00,1.618040E-06,1.485009E+00,4.018471E-06
5.210000E-01,1.485006E+00,2.918773E-06,1.485004E+00,1.619429E-06,1.485009E+00,4.020843E-06
5.220000E-01,1.485006E+00,2.921430E-06,1.485004E+00,1.620880E-06,1.485009E+00,4.024353E-06
5.230000E-01,1.485006E+00,2.924299E-06,1.485004E+00,1.622498E-06,1.485009E+00,4.028045E-06
5.240000E-01,1.485006E+00,2.926679E-06,1.485004E+00,1.623756E-06,1.485008E+00,4.031046E-06
5.250000E-01,1.485006E+00,2.928379E-06,1.485004E+00,1.625135E-06,1.485008E+00,4.033656E-06
5.260000E-01,1.485006E+00,2.930662E-06,1.485004E+00,1.626383E-06,1.485008E+00,4.036598E-06
5.270000E-01,1.485005E+00,2.931899E-06,1.485003E+00,1.627040E-06,1.485008E+00,4.037736E-06
5.280000E-01,1.485005E+00,2.935759E-06,1.485003E+00,1.629351E-06,1.485008E+00,4.043494E-06
5.290000E-01,1.485005E+00,2.942674E-06,1.485003E+00,1.633215E-06,1.485008E+00,4.052960E-06
5.300000E-01,1.485005E+00,2.945713E-06,1.485003E+00,1.635084E-06,1.485008E+00,4.057092E-06
5.310000E-01,1.485005E+00,2.946952E-06,1.485003E+00,1.635665E-06,1.485008E+00,4.058363E-06
5.319999E-01,1.485005E+00,2.949689E-06,1.485003E+00,1.637245E-06,1.485008E+00,4.062435E-06
5.330000E-01,1.485005E+00,2.956162E-06,1.485003E+00,1.640618E-06,1.485008E+00,4.070849E-06
5.340000E-01,1.485005E+00,2.959099E-06,1.485003E+00,1.642430E-06,1.485008E+00,4.074762E-06
5.350000E-01,1.485005E+00,2.959845E-06,1.485003E+00,1.643095E-06,1.485007E+00,4.075922E-06
5.360000E-01,1.485005E+00,2.962062E-06,1.485003E+00,1.644224E-06,1.485007E+00,4.078346E-06
5.370000E-01,1.485004E+00,2.967614E-06,1.485003E+00,1.647113E-06,1.485007E+00,4.085572E-06
5.380000E-01,1.485004E+00,2.968725E-06,1.485003E+00,1.648011E-06,1.485007E+00,4.087081E-06
5.390000E-01,1.485004E+00,2.971069E-06,1.485003E+00,1.649307E-06,1.485007E+00,4.090201E-06
5.400000E-01,1.485004E+00,2.975956E-06,1.485003E+00,1.652022E-06,1.485007E+00,4.096574E-06
5.410000E-01,1.485004E+00,2.975349E-06,1.485003E+00,1.651991E-06,1.485006E+00,4.095963E-06
5.420000E-01,1.485004E+00,2.974871E-06,1.485003E+00,1.651716E-06,1.485006E+00,4.094447E-06
5.430000E-01,1.485004E+00,2.971872E-06,1.485003E+00,1.650474E-06,1.485006E+00,4.090577E-06
5.440000E-01,1.485004E+00,2.965333E-06,1.485003E+00,1.647229E-06,1.485006E+00,4.080834E-06
5.450000E-01,1.485004E+00,2.961817E-06,1.485003E+00,1.645479E-06,1.485006E+00,4.075543E-06
5.460000E-01,1.485004E+00,2.958001E-06,1.485003E+00,1.643649E-06,1.485006E+00,4.069732E-06
5.470001E-01,1.485004E+00,2.951297E-06,1.485003E+00,1.640557E-06,1.485006E+00,4.060134E-06
5.480000E-01,1.485004E+00,2.941786E-06,1.485003E+00,1.635771E-06,1.485006E+00,4.046411E-06
5.490000E-01,1.485004E+00,2.937308E-06,1.485003E+00,1.633546E-06,1.485005E+00,4.040407E-06
5.500000E-01,1.485004E+00,2.934646E-06,1.485003E+00,1.632397E-06,1.485005E+00,4.036338E-06
5.510000E-01,1.485003E+00,2.929172E-06,1.485003E+00,1.629860E-06,1.485005E+00,4.028555E-06
5.520000E-01,1.485003E+00,2.923498E-06,1.485003E+00,1.627273E-06,1.485005E+00,4.020581E-06
5.530000E-01,1.485003E+00,2.920984E-06,1.485002E+00,1.626109E-06,1.485005E+00,4.017274E-06
5.540000E-01,1.485003E+00,2.921018E-06,1.485002E+00,1.626403E-06,1.485005E+00,4.016979E-06
5.550000E-01,1.485003E+00,2.921089E-06,1.485002E+00,1.626692E-06,1.485005E+00,4.016870E-06
5.560000E-01,1.485003E+00,2.922963E-06,1.485002E+00,1.627762E-06,1.485005E+00,4.019478E-06
5.570000E-01,1.485003E+00,2.926565E-06,1.485002E+00,1.629696E-06,1.485004E+00,4.024287E-06
5.580000E-01,1.485003E+00,2.931137E-06,1.485002E+00,1.632363E-06,1.485004E+00,4.030565E-06
5.590000E-01,1.485003E+00,2.936979E-06,1.485002E+00,1.635294E-06,1.485004E+00,4.037794E-06
5.600000E-01,1.485003E+00,2.941436E-06,1.485002E+00,1.637795E-06,1.485004E+00,4.043955E-06
5.610000E-01,1.485003E+00,2.945609E-06,1.485002E+00,1.639959E-06,1.485004E+00,4.049245E-06
5.620000E-01,1.485003E+00,2.949459E-06,1.485002E+00,1.641961E-06,1.485004E+00,4.054209E-06
5.630000E-01,1.485003E+00,2.948307E-06,1.485002E+00,1.641407E-06,1.485004E+00,4.051926E-06
5.640000E-01,1.485003E+00,2.945367E-06,1.485002E+00,1.640251E-06,1.485004E+00,4.047681E-06
5.650000E-01,1.485003E+00,2.944007E-06,1.485002E+00,1.639524E-06,1.485004E+00,4.045059E-06
5.660000E-01,1.485002E+00,2.943413E-06,1.485002E+00,1.639334E-06,1.485003E+00,4.044373E-06
5.670000E-01,1.485002E+00,2.941478E-06,1.485002E+00,1.638859E-06,1.485003E+00,4.041749E-06
5.680000E-01,1.485002E+00,2.940864E-06,1.485001E+00,1.638562E-06,1.485003E+00,4.040382E-06
5.690000E-01,1.485002E+00,2.941803E-06,1.485001E+00,1.639231E-06,1.485003E+00,4.041583E-06
5.700000E-01,1.485002E+00,2.942435E-06,1.485001E+00,1.639738E-06,1.485003E+00,4.042742E-06
